model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
tf_efficientnetv2_l.in1k,477.0,89.54,10.46,98.339,1.661,118.52,480,1.0,bicubic,3.876,0.865
flexivit_large.1200ep_in1k,1259.52,89.534,10.466,98.414,1.586,304.36,240,0.95,bicubic,3.89,0.874
xcit_large_24_p8_224.fb_dist_in1k,756.0,89.517,10.483,98.217,1.783,188.93,224,1.0,bicubic,4.115,0.815
flexivit_large.600ep_in1k,1259.52,89.51,10.49,98.392,1.608,304.36,240,0.95,bicubic,3.97,0.904
xcit_small_12_p8_384.fb_dist_in1k,105.0,89.508,10.492,98.307,1.693,26.21,384,1.0,bicubic,4.43,1.025
cait_s24_384.fb_dist_in1k,188.0,89.504,10.496,98.362,1.638,47.06,384,1.0,bicubic,4.456,1.016
convformer_s36.sail_in22k_ft_in1k,160.0,89.496,10.505,98.454,1.546,40.01,224,1.0,bicubic,4.082,0.886
convnextv2_tiny.fcmae_ft_in22k_in1k_384,115.0,89.485,10.515,98.484,1.516,28.64,384,1.0,bicubic,4.379,0.856
convformer_s36.sail_in1k_384,160.0,89.481,10.52,98.369,1.631,40.01,384,1.0,bicubic,4.103,0.893
xcit_medium_24_p16_384.fb_dist_in1k,338.0,89.481,10.52,98.296,1.704,84.40,384,1.0,bicubic,4.056,0.966
convnext_tiny.in12k_ft_in1k_384,114.0,89.472,10.528,98.505,1.494,28.59,384,1.0,bicubic,4.35,0.9
inception_next_base.sail_in1k_384,347.0,89.453,10.547,98.345,1.655,86.67,384,1.0,bicubic,4.251,0.931
regnety_120.sw_in12k_ft_in1k,208.0,89.446,10.554,98.537,1.462,51.82,288,1.0,bicubic,4.046,0.956
vit_base_patch16_224.augreg2_in21k_ft_in1k,346.0,89.446,10.554,98.441,1.559,86.57,224,0.9,bicubic,4.352,0.911
deit3_base_patch16_224.fb_in22k_ft_in1k,346.0,89.444,10.556,98.557,1.443,86.59,224,1.0,bicubic,3.744,0.811
maxvit_small_tf_512.in1k,277.0,89.444,10.556,98.354,1.646,69.13,512,1.0,bicubic,3.36,0.59
vit_base_patch8_224.augreg_in21k_ft_in1k,346.0,89.436,10.564,98.484,1.516,86.58,224,0.9,bicubic,3.638,0.694
vit_base_patch32_clip_448.laion2b_ft_in12k_in1k,353.0,89.436,10.564,98.401,1.599,88.34,448,1.0,bicubic,3.656,0.763
deit_base_distilled_patch16_384.fb_in1k,351.0,89.434,10.566,98.439,1.561,87.63,384,1.0,bicubic,4.01,1.033
vit_base_patch16_clip_224.laion2b_ft_in1k,346.0,89.431,10.569,98.469,1.531,86.57,224,1.0,bicubic,3.961,0.893
tf_efficientnet_b7.ap_in1k,267.0,89.431,10.569,98.345,1.655,66.35,600,0.949,bicubic,4.307,1.093
convnextv2_base.fcmae_ft_in1k,355.0,89.421,10.579,98.36,1.64,88.72,288,1.0,bicubic,3.947,0.976
caformer_b36.sail_in1k,395.0,89.408,10.592,98.222,1.778,98.75,224,1.0,bicubic,3.904,0.912
vit_base_patch16_clip_224.openai_ft_in12k_in1k,346.0,89.404,10.596,98.394,1.606,86.57,224,0.95,bicubic,3.462,0.666
hrnet_w48_ssld.paddle_in1k,311.0,89.401,10.598,98.382,1.618,77.47,288,1.0,bilinear,4.921,1.148
