model,model_size_in_mb,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,top1_diff,top5_diff
resnet50.a1h_in1k,103.0,86.34,13.66,97.06,2.94,25.56,224,1.0,bicubic,5.662,1.754
cait_xxs36_224.fb_dist_in1k,69.4,86.329,13.671,97.118,2.882,17.30,224,1.0,bicubic,6.583,2.244
tf_efficientnet_b3.in1k,49.5,86.325,13.675,96.964,3.036,12.23,300,0.904,bicubic,5.451,1.664
mobilevitv2_175.cvnets_in1k,57.2,86.321,13.679,96.985,3.015,14.25,256,0.888,bicubic,5.461,1.729
gernet_m.idstcv_in1k,84.9,86.319,13.681,97.098,2.902,21.14,224,0.875,bilinear,5.582,1.908
resnet50d.a2_in1k,103.0,86.314,13.686,96.674,3.326,25.58,288,1.0,bicubic,5.15,1.594
vit_small_patch32_384.augreg_in21k_ft_in1k,91.7,86.312,13.688,97.419,2.581,22.92,384,1.0,bicubic,5.826,1.819
pit_s_224.in1k,93.9,86.308,13.692,97.049,2.951,23.46,224,0.9,bicubic,5.222,1.719
efficientnet_b2.ra_in1k,36.9,86.306,13.694,96.987,3.013,9.11,288,1.0,bicubic,5.696,1.673
gcresnet33ts.ra2_in1k,79.8,86.301,13.699,97.06,2.94,19.88,288,1.0,bicubic,5.701,1.738
resnext50_32x4d.a1_in1k,100.0,86.284,13.716,96.71,3.29,25.03,288,1.0,bicubic,4.818,1.536
resnext50_32x4d.a2_in1k,100.0,86.28,13.72,96.684,3.316,25.03,288,1.0,bicubic,4.976,1.588
resnet50.b2k_in1k,103.0,86.272,13.729,97.071,2.929,25.56,288,1.0,bicubic,5.818,1.753
senet154.gluon_in1k,462.0,86.272,13.729,96.957,3.042,115.09,224,0.875,bicubic,5.046,1.599
resnext50_32x4d.tv2_in1k,100.0,86.267,13.733,97.054,2.946,25.03,224,0.965,bilinear,5.085,1.714
eca_resnet33ts.ra2_in1k,79.0,86.257,13.743,97.15,2.85,19.68,288,1.0,bicubic,5.585,1.786
resnest50d.in1k,110.0,86.248,13.752,97.069,2.931,27.48,224,0.875,bilinear,5.288,1.687
gcvit_xxtiny.in1k,,86.244,13.756,97.107,2.893,12.00,224,0.875,bicubic,6.518,2.027
regnetx_032.tv2_in1k,61.6,86.244,13.756,97.092,2.908,15.30,224,0.965,bicubic,5.318,1.814
vit_base_patch16_384.augreg_in1k,347.0,86.231,13.769,96.964,3.036,86.86,384,1.0,bicubic,5.129,1.844
convmixer_768_32.in1k,85.0,86.22,13.78,97.037,2.963,21.11,224,0.96,bicubic,6.052,1.963
efficientnet_el_pruned.in1k,42.9,86.192,13.807,97.028,2.972,10.59,300,0.904,bicubic,5.894,1.806
tresnet_m.miil_in1k,126.0,86.188,13.812,96.667,3.333,31.39,224,0.875,bilinear,5.39,1.811
cspdarknet53.ra_in1k,111.0,86.178,13.822,97.009,2.991,27.64,256,0.887,bilinear,6.11,1.931
rexnet_150.nav_in1k,39.3,86.169,13.831,97.06,2.94,9.73,224,0.875,bicubic,5.845,2.07
inception_v4.tf_in1k,171.0,86.163,13.837,96.919,3.081,42.68,299,0.875,bicubic,6.007,1.949
efficientvit_b1.r288_in1k,36.6,86.154,13.846,96.932,3.068,9.10,288,1.0,bicubic,5.83,1.756
inception_resnet_v2.tf_in1k,224.0,86.133,13.867,97.045,2.955,55.84,299,0.897,bicubic,5.675,1.855
xcit_tiny_12_p8_224.fb_in1k,27.0,86.114,13.886,97.088,2.912,6.71,224,1.0,bicubic,6.425,2.034
resnext50_32x4d.fb_ssl_yfcc100m_ft_in1k,100.0,86.101,13.899,97.212,2.788,25.03,224,0.875,bilinear,5.767,1.812
res2net101d.in1k,182.0,86.099,13.901,96.851,3.149,45.23,224,0.875,bilinear,4.881,1.501
resnet50.a2_in1k,103.0,86.097,13.903,96.701,3.299,25.56,288,1.0,bicubic,5.325,1.713
tf_efficientnet_el.in1k,42.9,86.082,13.918,96.955,3.045,10.59,300,0.904,bicubic,5.834,1.835
mobilevitv2_150.cvnets_in1k,42.6,86.082,13.918,96.857,3.143,10.59,256,0.888,bicubic,5.712,1.783
cspresnext50.ra_in1k,82.6,86.077,13.923,97.107,2.893,20.57,256,0.887,bilinear,5.523,1.781
convnext_pico_ols.d1_in1k,36.3,86.069,13.931,97.017,2.983,9.06,288,1.0,bicubic,5.607,1.765
resnet101s.gluon_in1k,179.0,86.067,13.933,97.03,2.97,44.67,224,0.875,bicubic,5.763,1.878
edgenext_small_rw.sw_in1k,31.4,86.054,13.946,96.928,3.072,7.83,320,1.0,bicubic,5.596,1.62
lambda_resnet50ts.a1h_in1k,86.5,86.049,13.95,96.742,3.258,21.54,256,0.95,bicubic,4.891,1.644
seresnext101_32x4d.gluon_in1k,197.0,86.028,13.972,96.972,3.027,48.96,224,0.875,bicubic,5.136,1.676
convnext_pico.d1_in1k,36.2,86.015,13.985,96.932,3.068,9.05,288,0.95,bicubic,5.599,1.884
poolformer_s24.sail_in1k,85.7,86.013,13.987,97.03,2.97,21.39,224,0.9,bicubic,5.719,1.956
resnetblur50.bt_in1k,103.0,85.992,14.008,96.985,3.015,25.56,288,0.95,bicubic,5.758,1.751
resnet152.a3_in1k,242.0,85.985,14.015,96.849,3.151,60.19,224,0.95,bicubic,5.439,1.849
ecaresnet26t.ra2_in1k,64.2,85.981,14.019,97.043,2.957,16.01,320,0.95,bicubic,6.131,1.953
tf_efficientnet_b2.ap_in1k,36.9,85.981,14.019,96.812,3.188,9.11,260,0.89,bicubic,5.671,1.786
seresnext101_64x4d.gluon_in1k,354.0,85.973,14.027,96.981,3.019,88.23,224,0.875,bicubic,5.079,1.685
efficientformerv2_s1.snap_dist_in1k,25.3,85.962,14.038,96.874,3.126,6.19,224,0.95,bicubic,6.27,2.158
vit_base_patch32_224.augreg_in21k_ft_in1k,353.0,85.956,14.044,97.128,2.872,88.22,224,0.9,bicubic,5.24,1.562
resnext50_32x4d.ra_in1k,100.0,85.934,14.066,97.032,2.968,25.03,288,0.95,bicubic,5.236,1.64
fbnetv3_d.ra2_in1k,41.7,85.93,14.07,97.026,2.974,10.31,256,0.95,bilinear,6.248,2.082
vit_large_patch32_384.orig_in21k_ft_in1k,1259.52,85.915,14.085,97.37,2.63,306.63,384,1.0,bicubic,4.405,1.28
resnet152d.gluon_in1k,242.0,85.915,14.085,96.814,3.186,60.21,224,0.875,bicubic,5.439,1.612
tf_efficientnet_b2.aa_in1k,36.9,85.896,14.104,96.864,3.136,9.11,260,0.89,bicubic,5.812,1.958
tf_efficientnetv2_b2.in1k,40.9,85.887,14.113,96.887,3.113,10.10,260,0.89,bicubic,5.691,1.845
vit_base_patch16_224.sam_in1k,346.0,85.872,14.128,96.693,3.307,86.57,224,0.9,bicubic,5.634,1.937
repvgg_b2g4.rvgg_in1k,248.0,85.862,14.138,96.804,3.196,61.76,224,0.875,bilinear,6.48,2.128
resnet101d.gluon_in1k,179.0,85.862,14.138,96.674,3.326,44.57,224,0.875,bicubic,5.436,1.65
efficientvit_b1.r256_in1k,36.6,85.83,14.17,96.782,3.217,9.10,256,1.0,bicubic,6.096,2.002
mixnet_xl.ra_in1k,48.1,85.804,14.196,96.716,3.284,11.90,224,0.875,bicubic,5.322,1.78
inception_resnet_v2.tf_ens_adv_in1k,224.0,85.768,14.232,96.759,3.241,55.84,299,0.897,bicubic,5.79,1.811
repvit_m0_9.dist_450e_in1k,22.4,85.757,14.243,96.81,3.19,5.49,224,0.95,bicubic,6.691,2.43
tf_efficientnet_lite3.in1k,33.2,85.755,14.245,96.891,3.109,8.20,300,0.904,bilinear,5.949,1.977
resnext101_32x4d.gluon_in1k,177.0,85.753,14.247,96.637,3.363,44.18,224,0.875,bicubic,5.413,1.707
xcit_tiny_24_p16_224.fb_in1k,48.7,85.746,14.254,96.932,3.068,12.12,224,1.0,bicubic,6.298,2.054
legacy_seresnext101_32x4d.in1k,,85.742,14.258,96.772,3.228,48.96,224,0.875,bilinear,5.51,1.752
resnet101.a3_in1k,179.0,85.736,14.264,96.501,3.499,44.55,224,0.95,bicubic,5.922,1.887
res2net50d.in1k,103.0,85.729,14.271,96.763,3.237,25.72,224,0.875,bilinear,5.475,1.727
regnety_320.pycls_in1k,581.0,85.727,14.273,96.725,3.275,145.05,224,0.875,bicubic,4.917,1.487
cspresnet50.ra_in1k,86.7,85.719,14.281,96.799,3.2,21.62,256,0.887,bilinear,6.137,2.09
resmlp_big_24_224.fb_in1k,517.0,85.701,14.299,96.426,3.574,129.14,224,0.875,bicubic,4.665,1.408
resnext101_64x4d.gluon_in1k,335.0,85.693,14.307,96.641,3.358,83.46,224,0.875,bicubic,5.093,1.649
xception71.tf_in1k,170.0,85.689,14.311,96.774,3.226,42.34,299,0.903,bicubic,5.815,1.846
resnet33ts.ra2_in1k,78.9,85.689,14.311,96.757,3.243,19.68,288,1.0,bicubic,5.963,1.929
deit_small_patch16_224.fb_in1k,88.3,85.676,14.324,96.906,3.094,22.05,224,0.9,bicubic,5.828,1.862
resnet50.ra_in1k,103.0,85.674,14.326,96.889,3.111,25.56,288,0.95,bicubic,5.838,1.923
efficientnet_em.ra2_in1k,28.0,85.672,14.328,96.951,3.049,6.90,240,0.882,bicubic,6.428,2.157
dpn107.mx_in1k,349.0,85.672,14.328,96.757,3.243,86.92,224,0.875,bicubic,5.502,1.815
ecaresnet50t.a3_in1k,103.0,85.672,14.328,96.725,3.275,25.57,224,0.95,bicubic,6.12,2.031
efficientnet_b2_pruned.in1k,33.6,85.642,14.358,96.742,3.258,8.31,260,0.89,bicubic,5.722,1.89
resmlp_36_224.fb_in1k,179.0,85.623,14.377,96.795,3.205,44.69,224,0.875,bicubic,5.85,1.911
tiny_vit_5m_224.in1k,21.7,85.605,14.395,96.953,3.047,5.39,224,0.95,bicubic,6.435,2.159
mobilevitv2_125.cvnets_in1k,30.1,85.578,14.422,96.665,3.335,7.48,256,0.888,bicubic,5.898,1.807
resnet50.bt_in1k,103.0,85.576,14.425,96.832,3.168,25.56,288,0.95,bicubic,5.936,1.94
levit_conv_192.fb_dist_in1k,44.2,85.571,14.429,96.742,3.258,10.95,224,0.9,bicubic,5.733,1.964
resnet32ts.ra2_in1k,72.1,85.569,14.431,96.866,3.134,17.96,288,1.0,bicubic,6.181,2.214
levit_192.fb_dist_in1k,44.2,85.569,14.431,96.74,3.26,10.95,224,0.9,bicubic,5.731,1.956
resnet152c.gluon_in1k,242.0,85.569,14.431,96.644,3.356,60.21,224,0.875,bicubic,5.657,1.798
pit_xs_distilled_224.in1k,44.1,85.561,14.439,96.686,3.314,11.00,224,0.9,bicubic,6.381,2.32
tf_efficientnetv2_b1.in1k,33.0,85.556,14.444,96.731,3.269,8.14,240,0.882,bicubic,6.096,2.009
regnety_120.pycls_in1k,208.0,85.554,14.446,96.774,3.226,51.82,224,0.875,bicubic,5.174,1.648
fbnetv3_b.ra2_in1k,34.8,85.52,14.48,96.862,3.139,8.60,256,0.95,bilinear,6.374,2.118
regnetx_320.pycls_in1k,432.0,85.52,14.48,96.671,3.329,107.81,224,0.875,bicubic,5.274,1.649
nf_regnet_b1.ra2_in1k,41.0,85.507,14.493,96.789,3.211,10.22,288,0.9,bicubic,6.199,2.049
convnextv2_femto.fcmae_ft_in1k,21.0,85.503,14.497,96.806,3.194,5.23,288,0.95,bicubic,6.165,2.246
dpn92.mx_in1k,151.0,85.501,14.499,96.65,3.35,37.67,224,0.875,bicubic,5.463,1.79
fastvit_s12.apple_in1k,38.3,85.492,14.508,96.721,3.28,9.47,256,0.9,bicubic,5.55,1.927
regnety_160.pycls_in1k,335.0,85.486,14.514,96.616,3.384,83.59,224,0.875,bicubic,5.188,1.652
resnet152.gluon_in1k,242.0,85.482,14.518,96.55,3.45,60.19,224,0.875,bicubic,5.786,1.82
resnetrs50.tf_in1k,143.0,85.469,14.531,96.733,3.267,35.69,224,0.91,bicubic,5.575,1.759
rexnet_130.nav_in1k,30.6,85.465,14.536,96.68,3.32,7.56,224,0.875,bicubic,5.959,2.002
dpn131.mx_in1k,318.0,85.45,14.55,96.62,3.38,79.25,224,0.875,bicubic,5.636,1.92
regnetx_160.pycls_in1k,218.0,85.396,14.604,96.65,3.35,54.28,224,0.875,bicubic,5.53,1.822
tf_efficientnet_b2.in1k,36.9,85.396,14.604,96.586,3.414,9.11,260,0.89,bicubic,5.788,1.872
convnext_tiny.fb_in22k_ft_in1k,114.0,85.381,14.619,96.804,3.196,28.59,288,1.0,bicubic,6.483,2.13
dla102x2.in1k,166.0,85.375,14.625,96.629,3.371,41.28,224,0.875,bilinear,5.929,1.997
repvit_m0_9.dist_300e_in1k,22.4,85.373,14.627,96.627,3.373,5.49,224,0.95,bicubic,6.715,2.511
dpn98.mx_in1k,247.0,85.351,14.649,96.509,3.491,61.57,224,0.875,bicubic,5.681,1.855
regnetx_016.tv2_in1k,37.1,85.349,14.651,96.817,3.183,9.19,224,0.965,bicubic,5.913,2.049
gmlp_s16_224.ra3_in1k,77.8,85.349,14.651,96.644,3.356,19.42,224,0.875,bicubic,5.705,2.022
botnet26t_256.c1_in1k,50.1,85.332,14.668,96.631,3.369,12.49,256,0.95,bicubic,6.074,2.099
skresnext50_32x4d.ra_in1k,110.0,85.328,14.672,96.39,3.61,27.48,224,0.875,bicubic,5.164,1.75
seresnext50_32x4d.gluon_in1k,111.0,85.321,14.679,96.674,3.326,27.56,224,0.875,bicubic,5.397,1.85
xception65.tf_in1k,161.0,85.315,14.685,96.646,3.354,39.92,299,0.903,bicubic,5.759,1.988
resnet101c.gluon_in1k,179.0,85.311,14.689,96.411,3.589,44.57,224,0.875,bicubic,5.773,1.827
lambda_resnet26t.c1_in1k,44.0,85.302,14.698,96.721,3.28,10.96,256,0.94,bicubic,6.214,2.13
resnext50_32x4d.a3_in1k,100.0,85.298,14.702,96.328,3.672,25.03,224,0.95,bicubic,6.03,2.022
regnety_064.pycls_in1k,123.0,85.283,14.717,96.648,3.352,30.58,224,0.875,bicubic,5.567,1.882
resnet34d.ra2_in1k,87.4,85.272,14.728,96.701,3.299,21.82,288,0.95,bicubic,6.836,2.357
coat_lite_mini.in1k,44.1,85.272,14.728,96.686,3.314,11.01,224,0.9,bicubic,6.17,2.078
resmlp_24_224.fb_in1k,120.0,85.264,14.736,96.49,3.51,30.02,224,0.875,bicubic,5.89,1.944
convnext_femto_ols.d1_in1k,21.0,85.253,14.747,96.772,3.228,5.23,288,0.95,bicubic,6.329,2.246
cait_xxs24_224.fb_dist_in1k,48.0,85.238,14.762,96.714,3.286,11.96,224,1.0,bicubic,6.854,2.398
regnety_080.pycls_in1k,157.0,85.238,14.762,96.635,3.365,39.18,224,0.875,bicubic,5.37,1.803
efficientvit_b1.r224_in1k,36.6,85.232,14.768,96.462,3.538,9.10,224,0.95,bicubic,5.98,2.158
pvt_v2_b1.in1k,56.1,85.21,14.79,96.631,3.369,14.01,224,0.9,bicubic,6.506,2.129
xcit_tiny_12_p16_224.fb_dist_in1k,27.0,85.2,14.8,96.597,3.403,6.72,224,1.0,bicubic,6.626,2.399
halonet26t.a1h_in1k,50.1,85.191,14.809,96.454,3.546,12.48,256,0.95,bicubic,6.085,2.148
resnext101_32x8d.tv_in1k,356.0,85.189,14.811,96.456,3.544,88.79,224,0.875,bilinear,5.879,1.936
inception_v3.gluon_in1k,95.7,85.187,14.813,96.535,3.465,23.83,299,0.875,bicubic,6.385,2.159
fastvit_t12.apple_in1k,30.6,85.18,14.819,96.607,3.393,7.55,256,0.9,bicubic,5.916,2.045
convnext_femto.d1_in1k,20.9,85.163,14.837,96.704,3.296,5.22,288,0.95,bicubic,6.447,2.273
resnet101.gluon_in1k,179.0,85.161,14.839,96.366,3.634,44.55,224,0.875,bicubic,5.851,1.844
hrnet_w48.ms_in1k,311.0,85.159,14.841,96.49,3.51,77.47,224,0.875,bilinear,5.853,1.974
regnetx_120.pycls_in1k,185.0,85.138,14.862,96.475,3.525,46.11,224,0.875,bicubic,5.55,1.733
eca_halonext26ts.c1_in1k,43.2,85.131,14.869,96.58,3.42,10.76,256,0.94,bicubic,5.645,1.98
resnet50.am_in1k,103.0,85.131,14.869,96.571,3.429,25.56,224,0.875,bicubic,6.129,2.173
tf_efficientnet_b1.ap_in1k,31.6,85.131,14.869,96.407,3.593,7.79,240,0.882,bicubic,5.855,2.095
repvit_m1.dist_in1k,22.4,85.121,14.879,96.597,3.403,5.49,224,0.95,bicubic,6.583,2.527
eca_botnext26ts_256.c1_in1k,42.6,85.121,14.879,96.511,3.489,10.59,256,0.95,bicubic,5.853,1.905
legacy_xception.tf_in1k,,85.121,14.879,96.469,3.531,22.86,299,0.897,bicubic,6.081,2.087
hrnet_w64.ms_in1k,513.0,85.114,14.886,96.738,3.262,128.06,224,0.875,bilinear,5.638,2.086
lambda_resnet26rpt_256.c1_in1k,44.2,85.099,14.901,96.565,3.435,10.99,256,0.94,bicubic,6.135,2.129
res2net101_26w_4s.in1k,182.0,85.097,14.903,96.381,3.619,45.21,224,0.875,bilinear,5.897,1.945
resnet50.fb_ssl_yfcc100m_ft_in1k,103.0,85.093,14.907,96.862,3.139,25.56,224,0.875,bilinear,5.863,2.036
mobileone_s4.apple_in1k,60.5,85.082,14.918,96.434,3.566,14.95,224,0.9,bilinear,5.656,1.954
dpn68b.ra_in1k,50.9,85.061,14.939,96.449,3.551,12.61,288,1.0,bicubic,5.701,2.013
tf_efficientnet_cc_b1_8e.in1k,159.0,85.061,14.939,96.43,3.57,39.72,240,0.882,bicubic,5.759,2.056
resnest26d.gluon_in1k,68.5,85.016,14.984,96.639,3.361,17.07,224,0.875,bilinear,6.534,2.345
xcit_nano_12_p8_384.fb_dist_in1k,12.3,85.014,14.986,96.629,3.371,3.05,384,1.0,bicubic,7.194,2.589
resnext50_32x4d.gluon_in1k,100.0,85.005,14.995,96.428,3.572,25.03,224,0.875,bicubic,5.645,1.998
tf_efficientnet_b0.ns_jft_in1k,21.4,84.999,15.001,96.505,3.495,5.29,224,0.875,bicubic,6.331,2.133
coat_tiny.in1k,22.1,84.971,15.029,96.422,3.578,5.50,224,0.9,bicubic,6.545,2.374
regnety_040.pycls_in1k,83.0,84.952,15.048,96.612,3.388,20.65,224,0.875,bicubic,5.732,1.956
dla169.in1k,214.0,84.931,15.069,96.541,3.459,53.39,224,0.875,bilinear,6.223,2.197
tf_efficientnet_b1.aa_in1k,31.6,84.918,15.082,96.366,3.634,7.79,240,0.882,bicubic,6.09,2.166
resnet50d.a3_in1k,103.0,84.901,15.099,96.285,3.715,25.58,224,0.95,bicubic,6.181,2.053
legacy_seresnext50_32x4d.in1k,,84.897,15.103,96.428,3.572,27.56,224,0.875,bilinear,5.821,1.996
mobilevitv2_100.cvnets_in1k,19.8,84.894,15.106,96.388,3.612,4.90,256,0.888,bicubic,6.814,2.218
hrnet_w44.ms_in1k,269.0,84.886,15.114,96.43,3.57,67.06,224,0.875,bilinear,5.992,2.066
resnet50s.gluon_in1k,103.0,84.877,15.123,96.441,3.559,25.68,224,0.875,bicubic,6.163,2.199
regnety_008_tv.tv2_in1k,26.0,84.875,15.125,96.637,3.363,6.43,224,0.965,bicubic,6.209,2.247
regnetx_080.pycls_in1k,159.0,84.865,15.136,96.432,3.568,39.57,224,0.875,bicubic,5.667,1.878
levit_conv_128.fb_dist_in1k,37.2,84.847,15.153,96.353,3.647,9.21,224,0.9,bicubic,6.353,2.345
visformer_tiny.in1k,41.4,84.845,15.155,96.509,3.491,10.32,224,0.9,bicubic,6.685,2.343
levit_128.fb_dist_in1k,37.2,84.845,15.155,96.353,3.647,9.21,224,0.9,bicubic,6.355,2.341
res2net50_26w_8s.in1k,194.0,84.837,15.163,96.355,3.645,48.40,224,0.875,bilinear,5.895,2.061
vit_tiny_patch16_384.augreg_in21k_ft_in1k,23.2,84.832,15.168,96.714,3.286,5.79,384,1.0,bicubic,6.408,2.172
repghostnet_200.in1k,39.7,84.83,15.17,96.413,3.587,9.80,224,0.875,bicubic,6.024,2.083
resnet50d.gluon_in1k,103.0,84.83,15.17,96.398,3.602,25.58,224,0.875,bicubic,5.752,1.932
dla60_res2next.in1k,68.5,84.826,15.174,96.407,3.593,17.03,224,0.875,bilinear,6.386,2.263
resnet152.tv_in1k,242.0,84.826,15.174,96.232,3.768,60.19,224,0.875,bilinear,6.504,2.186
resnet26t.ra2_in1k,64.2,84.824,15.176,96.39,3.61,16.01,320,1.0,bicubic,6.496,2.266
dla60_res2net.in1k,83.8,84.818,15.182,96.473,3.527,20.85,224,0.875,bilinear,6.354,2.275
mixnet_l.ft_in1k,29.7,84.815,15.185,96.323,3.677,7.33,224,0.875,bicubic,5.849,2.141
dla102x.in1k,106.0,84.807,15.193,96.552,3.448,26.31,224,0.875,bilinear,6.295,2.316
xception41.tf_in1k,109.0,84.785,15.214,96.411,3.589,26.97,299,0.903,bicubic,6.281,2.135
pit_xs_224.in1k,42.5,84.783,15.217,96.501,3.499,10.62,224,0.9,bicubic,6.607,2.339
hrnet_w18.ms_aug_in1k,86.1,84.783,15.217,96.466,3.534,21.30,224,0.95,bilinear,6.661,2.412
regnetx_064.pycls_in1k,105.0,84.773,15.227,96.494,3.506,26.21,224,0.875,bicubic,5.707,2.034
resnet34.a1_in1k,87.3,84.762,15.238,96.23,3.771,21.80,288,1.0,bicubic,6.844,2.466
poolformerv2_s12.sail_in1k,47.6,84.756,15.244,96.373,3.627,11.89,224,1.0,bicubic,6.754,2.508
gcresnext26ts.ch_in1k,42.1,84.756,15.244,96.293,3.707,10.48,288,1.0,bicubic,6.342,2.257
hrnet_w40.ms_in1k,231.0,84.745,15.255,96.552,3.448,57.56,224,0.875,bilinear,5.813,2.088
repvgg_b2.rvgg_in1k,357.0,84.726,15.274,96.471,3.529,89.02,224,0.875,bilinear,5.934,2.051
res2net50_26w_6s.in1k,149.0,84.726,15.274,96.281,3.719,37.05,224,0.875,bilinear,6.158,2.159
resmlp_12_224.fb_distilled_in1k,61.5,84.719,15.281,96.225,3.775,15.35,224,0.875,bicubic,6.765,2.665
vit_base_patch32_384.augreg_in1k,353.0,84.715,15.285,96.323,3.677,88.30,384,1.0,bicubic,5.959,2.097
legacy_seresnet152.in1k,,84.713,15.287,96.419,3.58,66.82,224,0.875,bilinear,6.053,2.049
cs3darknet_m.c2ns_in1k,37.4,84.7,15.3,96.488,3.512,9.31,288,0.95,bicubic,7.066,2.472
selecsls60b.in1k,131.0,84.662,15.338,96.3,3.7,32.77,224,0.875,bicubic,6.25,2.132
bat_resnext26ts.ch_in1k,43.2,84.653,15.347,96.268,3.732,10.73,256,0.9,bicubic,6.401,2.17
hrnet_w32.ms_in1k,166.0,84.651,15.349,96.413,3.587,41.23,224,0.875,bilinear,6.209,2.223
seresnext26d_32x4d.bt_in1k,67.5,84.642,15.357,96.261,3.739,16.81,288,0.95,bicubic,5.829,2.022
tf_efficientnetv2_b0.in1k,28.9,84.623,15.377,96.274,3.726,7.14,224,0.875,bicubic,6.265,2.26
efficientnet_b1.ft_in1k,31.6,84.611,15.389,96.334,3.666,7.79,256,1.0,bicubic,5.811,1.992
regnetx_040.pycls_in1k,88.9,84.606,15.394,96.379,3.621,22.12,224,0.875,bicubic,6.114,2.137
vit_relpos_base_patch32_plus_rpn_256.sw_in1k,478.0,84.598,15.402,96.014,3.986,119.42,256,0.9,bicubic,5.114,1.876
regnety_032.pycls_in1k,78.2,84.593,15.407,96.415,3.585,19.44,224,0.875,bicubic,5.717,2.007
seresnext26t_32x4d.bt_in1k,67.5,84.589,15.411,96.381,3.619,16.81,288,0.95,bicubic,5.845,2.069
hrnet_w30.ms_in1k,152.0,84.583,15.417,96.381,3.619,37.71,224,0.875,bilinear,6.387,2.159
efficientnet_es.ra_in1k,22.1,84.581,15.419,96.308,3.692,5.44,224,0.875,bicubic,6.523,2.382
tf_mixnet_l.in1k,29.7,84.578,15.422,96.244,3.756,7.33,224,0.875,bicubic,5.802,2.242
wide_resnet101_2.tv_in1k,508.0,84.546,15.454,96.349,3.651,126.89,224,0.875,bilinear,5.704,2.067
hrnet_w18_small_v2.gluon_in1k,62.9,84.542,15.458,96.285,3.715,15.60,224,0.875,bicubic,6.352,2.383
vit_small_patch16_224.augreg_in1k,88.3,84.536,15.464,96.272,3.728,22.05,224,0.9,bicubic,5.688,1.984
dla60x.in1k,69.8,84.531,15.469,96.293,3.707,17.35,224,0.875,bilinear,6.295,2.267
legacy_seresnet101.in1k,,84.497,15.503,96.326,3.674,49.33,224,0.875,bilinear,6.111,2.064
resnet50.a3_in1k,103.0,84.484,15.515,96.003,3.997,25.56,224,0.95,bicubic,6.436,2.223
cs3darknet_focus_m.c2ns_in1k,37.4,84.482,15.518,96.417,3.583,9.30,288,0.95,bicubic,7.198,2.451
seresnext26ts.ch_in1k,41.8,84.48,15.52,96.321,3.679,10.39,288,1.0,bicubic,6.21,2.229
tf_efficientnet_b1.in1k,31.6,84.472,15.528,96.074,3.926,7.79,240,0.882,bicubic,5.91,1.98
coat_lite_tiny.in1k,23.0,84.459,15.541,96.383,3.617,5.72,224,0.9,bicubic,6.939,2.461
tf_efficientnet_em.in1k,28.0,84.455,15.545,96.185,3.815,6.90,240,0.882,bicubic,6.329,2.137
wide_resnet50_2.tv_in1k,276.0,84.429,15.571,96.257,3.743,68.88,224,0.875,bilinear,5.953,2.169
repvgg_b1.rvgg_in1k,230.0,84.42,15.58,96.217,3.783,57.42,224,0.875,bilinear,6.052,2.121
efficientnet_b1_pruned.in1k,25.7,84.397,15.603,96.14,3.86,6.33,240,0.882,bicubic,6.157,2.306
vit_base_patch16_224.augreg_in1k,346.0,84.384,15.616,96.042,3.958,86.57,224,0.9,bicubic,5.23,1.952
res2net50_26w_4s.in1k,103.0,84.359,15.642,96.091,3.909,25.70,224,0.875,bilinear,6.409,2.239
hardcorenas_f.miil_green_in1k,33.1,84.324,15.676,96.025,3.975,8.20,224,0.875,bilinear,6.228,2.222
res2net50_14w_8s.in1k,101.0,84.311,15.688,96.076,3.924,25.06,224,0.875,bilinear,6.153,2.23
selecsls60.in1k,123.0,84.282,15.718,96.103,3.897,30.67,224,0.875,bicubic,6.294,2.273
mobilevit_s.cvnets_in1k,22.5,84.277,15.723,96.259,3.741,5.58,256,0.9,bicubic,5.965,2.111
regnetx_032.pycls_in1k,61.6,84.245,15.755,96.242,3.758,15.30,224,0.875,bicubic,6.077,2.16
mobileone_s3.apple_in1k,41.3,84.233,15.767,96.135,3.865,10.17,224,0.9,bilinear,6.241,2.221
convnextv2_atto.fcmae_ft_in1k,14.9,84.226,15.774,96.059,3.941,3.71,288,0.95,bicubic,6.466,2.333
eca_resnext26ts.ch_in1k,41.4,84.224,15.776,96.191,3.809,10.30,288,1.0,bicubic,6.224,2.265
ese_vovnet19b_dw.ra_in1k,26.3,84.22,15.78,96.259,3.741,6.54,288,0.95,bicubic,6.476,2.475
convnext_atto_ols.a2_in1k,14.9,84.22,15.78,96.217,3.783,3.70,288,0.95,bicubic,7.004,2.541
resnet50c.gluon_in1k,103.0,84.213,15.787,96.163,3.837,25.58,224,0.875,bicubic,6.207,2.171
res2next50.in1k,99.1,84.213,15.787,96.001,3.999,24.67,224,0.875,bilinear,5.971,2.109
mobileone_s2.apple_in1k,32.1,84.196,15.804,96.063,3.937,7.88,224,0.9,bilinear,6.68,2.395
dla102.in1k,134.0,84.19,15.81,96.206,3.794,33.27,224,0.875,bilinear,6.166,2.272
densenetblur121d.ra_in1k,32.6,84.168,15.832,96.24,3.76,8.00,288,0.95,bicubic,6.846,2.452
rexnet_100.nav_in1k,19.5,84.158,15.842,96.249,3.751,4.80,224,0.875,bicubic,6.302,2.609
fastvit_t8.apple_dist_in1k,16.4,84.143,15.857,96.078,3.922,4.03,256,0.9,bicubic,6.967,2.78
