resnet152d.ra2_in1k,242 MB
fastvit_ma36.apple_in1k,177 MB
maxvit_rmlp_tiny_rw_256.sw_in1k,117 MB
tf_efficientnet_b4.ap_in1k,78.1 MB
deit3_small_patch16_224.fb_in22k_ft_in1k,88.3 MB
regnety_064.ra3_in1k,123 MB
efficientvit_b3.r256_in1k,195 MB
convnextv2_nano.fcmae_ft_in22k_in1k_384,62.6 MB
tf_efficientnet_b5.ra_in1k,123 MB
crossvit_15_dagger_408.in1k,114 MB
cs3se_edgenet_x.c2ns_in1k,203 MB
deit3_small_patch16_384.fb_in1k,88.9 MB
pvt_v2_b4.in1k,251 MB
efficientformer_l7.snap_dist_in1k,330 MB
mvitv2_small.fb_in1k,140 MB
inception_next_small.sail_in1k,198 MB
resnetrs152.tf_in1k,347 MB
deit3_base_patch16_224.fb_in1k,346 MB
xcit_small_12_p16_224.fb_dist_in1k,105 MB
gcvit_small.in1k,Model Authorization Error
deit_base_distilled_patch16_224.fb_in1k,349 MB
regnetv_040.ra3_in1k,83 MB
xception65p.ra3_in1k,160 MB
swinv2_small_window8_256.ms_in1k,201 MB
caformer_s18.sail_in1k,105 MB
xcit_tiny_24_p16_384.fb_dist_in1k,48.7 MB
xcit_large_24_p8_224.fb_in1k,756 MB
resnetv2_152x2_bit.goog_teacher_in21k_ft_in1k_384,946 MB
tiny_vit_21m_224.in1k,85 MB
coat_lite_medium.in1k,178 MB
resnext101_32x8d.fb_wsl_ig1b_ft_in1k,356 MB
cait_xxs36_384.fb_dist_in1k,69.7 MB
dm_nfnet_f0.dm_in1k,286 MB
resnext101_32x4d.fb_swsl_ig1b_ft_in1k,177 MB
pit_b_distilled_224.in1k,299 MB
xcit_tiny_12_p8_384.fb_dist_in1k,27 MB
tiny_vit_11m_224.dist_in22k_ft_in1k,44.1 MB
pvt_v2_b5.in1k,328 MB
rexnetr_200.sw_in12k_ft_in1k,66.6 MB
pvt_v2_b3.in1k,181 MB
fastvit_sa36.apple_in1k,127 MB
hrnet_w18_ssld.paddle_in1k,86.1 MB
xception65.ra3_in1k,161 MB
efficientvit_b3.r224_in1k,195 MB
swin_s3_base_224.ms_in1k,295 MB
xcit_tiny_24_p8_224.fb_dist_in1k,48.7 MB
convnextv2_tiny.fcmae_ft_in1k,115 MB
regnety_160.swag_lc_in1k,335 MB
resnet152.a1h_in1k,242 MB
focalnet_base_srf.ms_in1k,353 MB
maxvit_tiny_tf_224.in1k,124 MB
focalnet_base_lrf.ms_in1k,355 MB
gcvit_tiny.in1k,Model Authorization Error
eca_nfnet_l0.ra2_in1k,96.6 MB
tf_efficientnet_b5.in1k,123 MB
cs3sedarknet_x.c2ns_in1k,142 MB
nfnet_l0.ra2_in1k,140 MB
efficientformer_l3.snap_dist_in1k,126 MB
tf_efficientnet_b4.aa_in1k,78.1 MB
xcit_small_24_p8_224.fb_in1k,191 MB
regnetz_c16.ra3_in1k,54.3 MB
regnety_032.ra_in1k,78.2 MB
coatnet_1_rw_224.sw_in1k,167 MB
